age,job,marital,education,default,balance,housing,loan,contact,campaign,pdays,previous,poutcome,y,Age group
60,retired,married,tertiary,0,$81.00,1,0,Null,1,-1,0,Null,0,Above 50
39,technician,married,secondary,0,$0.00,1,0,Null,1,-1,0,Null,0,30-50
46,management,married,tertiary,0,$229.00,1,0,Null,1,-1,0,Null,0,30-50
44,blue-collar,married,secondary,0,-$674.00,1,0,Null,1,-1,0,Null,0,30-50
53,blue-collar,married,primary,0,$90.00,0,0,Null,1,-1,0,Null,0,Above 50
52,blue-collar,married,primary,0,$128.00,1,0,Null,1,-1,0,Null,0,Above 50
59,blue-collar,married,primary,0,$179.00,1,0,Null,3,-1,0,Null,0,Above 50
27,technician,single,tertiary,0,$0.00,1,0,Null,1,-1,0,Null,0,Under 30
44,blue-collar,married,secondary,0,$54.00,1,0,Null,1,-1,0,Null,0,30-50
47,technician,married,tertiary,0,$151.00,1,0,Null,1,-1,0,Null,0,30-50
34,admin.,married,secondary,0,$61.00,0,1,Null,1,-1,0,Null,0,30-50
59,retired,single,secondary,0,$30.00,1,0,Null,1,-1,0,Null,0,Above 50
45,management,married,tertiary,0,$523.00,1,0,Null,2,-1,0,Null,0,30-50
29,services,divorced,secondary,0,$31.00,1,0,Null,1,-1,0,Null,0,Under 30
46,technician,divorced,secondary,0,$79.00,0,0,Null,1,-1,0,Null,0,30-50
56,self-employed,married,primary,0,-$34.00,1,1,Null,2,-1,0,Null,0,Above 50
36,blue-collar,married,primary,0,$448.00,1,0,Null,1,-1,0,Null,0,30-50
59,retired,divorced,primary,0,$81.00,1,0,Null,1,-1,0,Null,0,Above 50
44,blue-collar,married,secondary,0,$144.00,1,0,Null,2,-1,0,Null,0,30-50
41,admin.,married,secondary,0,$351.00,1,0,Null,1,-1,0,Null,0,30-50
33,management,single,tertiary,0,-$67.00,1,0,Null,1,-1,0,Null,0,30-50
59,management,divorced,tertiary,0,$262.00,0,0,Null,1,-1,0,Null,0,Above 50
57,technician,married,primary,0,$0.00,0,0,Null,1,-1,0,Null,0,Above 50
56,technician,divorced,unknown,0,$56.00,1,0,Null,1,-1,0,Null,0,Above 50
51,blue-collar,married,secondary,0,$26.00,1,0,Null,1,-1,0,Null,0,Above 50
34,admin.,married,unknown,0,$3.00,1,0,Null,3,-1,0,Null,0,30-50
43,services,married,secondary,0,$41.00,1,1,Null,2,-1,0,Null,0,30-50
52,technician,married,tertiary,0,$7.00,0,1,Null,1,-1,0,Null,0,Above 50
33,technician,single,secondary,0,$105.00,1,0,Null,2,-1,0,Null,0,30-50
29,admin.,single,secondary,0,$818.00,1,1,Null,1,-1,0,Null,0,Under 30
34,services,married,secondary,0,-$16.00,1,1,Null,1,-1,0,Null,0,30-50
31,blue-collar,married,secondary,0,$0.00,1,0,Null,1,-1,0,Null,0,30-50
55,services,married,secondary,0,"$2,476.00",1,0,Null,1,-1,0,Null,1,Above 50
55,management,married,unknown,0,"$1,185.00",0,0,Null,1,-1,0,Null,0,Above 50
32,admin.,single,secondary,0,$217.00,1,0,Null,1,-1,0,Null,0,30-50
38,technician,single,secondary,0,"$1,685.00",1,0,Null,1,-1,0,Null,0,30-50
55,admin.,single,secondary,0,$802.00,1,1,Null,2,-1,0,Null,0,Above 50
28,unemployed,single,tertiary,0,$0.00,1,0,Null,2,-1,0,Null,0,Under 30
23,blue-collar,married,secondary,0,$94.00,1,0,Null,1,-1,0,Null,0,Under 30
32,technician,single,secondary,0,$0.00,1,0,Null,1,-1,0,Null,0,30-50
43,services,single,unknown,0,$0.00,0,0,Null,1,-1,0,Null,0,30-50
32,blue-collar,married,secondary,0,$517.00,1,0,Null,1,-1,0,Null,0,30-50
46,blue-collar,married,secondary,0,$265.00,1,0,Null,1,-1,0,Null,0,30-50
53,housemaid,divorced,primary,0,$947.00,1,0,Null,1,-1,0,Null,0,Above 50
34,self-employed,single,secondary,0,$3.00,1,0,Null,1,-1,0,Null,0,30-50
57,unemployed,married,tertiary,0,$42.00,0,0,Null,1,-1,0,Null,0,Above 50
37,blue-collar,married,secondary,0,$37.00,1,0,Null,1,-1,0,Null,0,30-50
59,blue-collar,married,secondary,0,$57.00,1,0,Null,1,-1,0,Null,0,Above 50
33,services,married,secondary,0,$22.00,1,0,Null,1,-1,0,Null,0,30-50
56,blue-collar,divorced,primary,0,$8.00,1,0,Null,2,-1,0,Null,0,Above 50
48,unemployed,married,secondary,0,$293.00,1,0,Null,1,-1,0,Null,0,30-50
43,services,married,primary,0,$3.00,1,0,Null,2,-1,0,Null,0,30-50
54,blue-collar,married,primary,0,$348.00,1,0,Null,2,-1,0,Null,0,Above 50
51,blue-collar,married,unknown,0,-$19.00,1,0,Null,2,-1,0,Null,0,Above 50
26,student,single,secondary,0,$0.00,1,0,Null,2,-1,0,Null,0,Under 30
40,management,married,tertiary,0,-$4.00,1,0,Null,1,-1,0,Null,0,30-50
39,management,married,secondary,0,$18.00,1,0,Null,1,-1,0,Null,0,30-50
50,technician,married,primary,0,$139.00,0,0,Null,2,-1,0,Null,0,30-50
41,services,married,secondary,0,$0.00,1,0,Null,2,-1,0,Null,0,30-50
51,blue-collar,married,unknown,0,"$1,883.00",1,0,Null,1,-1,0,Null,0,Above 50
60,retired,divorced,secondary,0,$216.00,1,0,Null,1,-1,0,Null,0,Above 50
52,blue-collar,married,secondary,0,$782.00,1,0,Null,3,-1,0,Null,0,Above 50
48,blue-collar,married,secondary,0,$904.00,1,0,Null,2,-1,0,Null,0,30-50
48,services,married,unknown,0,"$1,705.00",1,0,Null,1,-1,0,Null,0,30-50
39,technician,single,tertiary,0,$47.00,1,0,Null,1,-1,0,Null,0,30-50
47,services,single,secondary,0,$176.00,1,0,Null,2,-1,0,Null,0,30-50
40,blue-collar,married,secondary,0,"$1,225.00",1,0,Null,5,-1,0,Null,0,30-50
45,technician,married,secondary,0,$86.00,1,0,Null,1,-1,0,Null,0,30-50
26,admin.,single,secondary,0,$82.00,1,0,Null,1,-1,0,Null,0,Under 30
52,management,married,tertiary,0,$271.00,1,0,Null,1,-1,0,Null,0,Above 50
54,technician,married,secondary,0,"$1,378.00",1,0,Null,1,-1,0,Null,0,Above 50
54,admin.,married,tertiary,0,$184.00,0,0,Null,2,-1,0,Null,1,Above 50
50,blue-collar,married,primary,0,$0.00,0,0,Null,3,-1,0,Null,0,30-50
35,blue-collar,married,secondary,0,$0.00,1,0,Null,1,-1,0,Null,0,30-50
44,services,married,secondary,0,"$1,357.00",1,1,Null,1,-1,0,Null,0,30-50
53,entrepreneur,married,unknown,0,$19.00,1,0,Null,1,-1,0,Null,0,Above 50
35,retired,single,primary,0,$434.00,0,0,Null,1,-1,0,Null,0,30-50
60,admin.,divorced,secondary,0,$92.00,1,0,Null,1,-1,0,Null,0,Above 50
53,admin.,divorced,secondary,0,"$1,151.00",1,0,Null,1,-1,0,Null,0,Above 50
48,unemployed,married,secondary,0,$41.00,1,0,Null,2,-1,0,Null,0,30-50
34,technician,married,secondary,0,$51.00,1,0,Null,2,-1,0,Null,0,30-50
54,services,married,secondary,0,$214.00,1,0,Null,2,-1,0,Null,0,Above 50
51,management,married,secondary,0,"$1,161.00",1,0,Null,1,-1,0,Null,0,Above 50
31,services,married,tertiary,0,$37.00,1,0,Null,1,-1,0,Null,0,30-50
35,technician,divorced,secondary,0,$787.00,1,0,Null,2,-1,0,Null,0,30-50
35,services,married,secondary,0,$59.00,1,0,Null,1,-1,0,Null,0,30-50
38,technician,married,secondary,0,$253.00,1,0,Null,1,-1,0,Null,0,30-50
36,admin.,married,tertiary,0,$211.00,1,0,Null,2,-1,0,Null,0,30-50
58,retired,married,primary,0,$235.00,1,0,Null,1,-1,0,Null,0,Above 50
40,services,divorced,unknown,0,"$4,384.00",1,0,Null,1,-1,0,Null,0,30-50
54,management,married,secondary,0,"$4,080.00",0,0,Null,1,-1,0,Null,0,Above 50
34,blue-collar,single,secondary,0,$53.00,1,1,Null,1,-1,0,Null,0,30-50
31,management,single,tertiary,0,$0.00,1,0,Null,1,-1,0,Null,0,30-50
51,retired,married,secondary,0,"$2,127.00",1,0,Null,1,-1,0,Null,0,Above 50
33,management,married,tertiary,0,$377.00,1,0,Null,1,-1,0,Null,0,30-50
55,management,married,tertiary,0,$73.00,1,0,Null,2,-1,0,Null,0,Above 50
42,admin.,married,secondary,0,$445.00,1,0,Null,1,-1,0,Null,0,30-50
34,blue-collar,married,secondary,0,$243.00,1,0,Null,1,-1,0,Null,0,30-50
33,blue-collar,single,secondary,0,$307.00,1,0,Null,2,-1,0,Null,0,30-50
38,services,married,secondary,0,$155.00,1,0,Null,1,-1,0,Null,0,30-50
50,technician,divorced,tertiary,0,$173.00,0,1,Null,1,-1,0,Null,0,30-50
43,management,married,tertiary,0,$400.00,1,0,Null,1,-1,0,Null,0,30-50
61,blue-collar,divorced,primary,0,"$1,428.00",1,0,Null,2,-1,0,Null,0,Above 50
47,admin.,married,secondary,0,$219.00,1,0,Null,1,-1,0,Null,0,30-50
48,self-employed,married,tertiary,0,$7.00,1,0,Null,1,-1,0,Null,0,30-50
44,blue-collar,married,secondary,0,$575.00,1,0,Null,1,-1,0,Null,0,30-50
35,student,single,unknown,0,$298.00,1,0,Null,2,-1,0,Null,0,30-50
35,services,married,secondary,0,$0.00,1,0,Null,1,-1,0,Null,0,30-50
50,services,married,secondary,0,"$5,699.00",1,0,Null,2,-1,0,Null,0,30-50
41,management,married,tertiary,0,$176.00,1,1,Null,1,-1,0,Null,0,30-50
41,management,married,tertiary,0,$517.00,1,0,Null,1,-1,0,Null,0,30-50
39,services,single,unknown,0,$257.00,1,0,Null,1,-1,0,Null,0,30-50
42,retired,married,secondary,0,$56.00,1,0,Null,1,-1,0,Null,0,30-50
38,blue-collar,married,secondary,0,-$390.00,1,0,Null,1,-1,0,Null,0,30-50
53,retired,married,secondary,0,$330.00,1,0,Null,2,-1,0,Null,0,Above 50
59,housemaid,divorced,primary,0,$195.00,0,0,Null,2,-1,0,Null,0,Above 50
36,services,married,secondary,0,$301.00,1,0,Null,1,-1,0,Null,0,30-50
54,blue-collar,married,primary,0,-$41.00,1,0,Null,1,-1,0,Null,0,Above 50
40,technician,married,tertiary,0,$483.00,1,0,Null,1,-1,0,Null,0,30-50
47,unknown,married,unknown,0,$28.00,0,0,Null,2,-1,0,Null,0,30-50
53,unemployed,married,unknown,0,$13.00,0,0,Null,3,-1,0,Null,0,Above 50
46,housemaid,married,primary,0,$965.00,0,0,Null,1,-1,0,Null,0,30-50
39,management,married,tertiary,0,$378.00,1,1,Null,2,-1,0,Null,0,30-50
40,unemployed,married,secondary,0,$219.00,1,0,Null,1,-1,0,Null,0,30-50
28,blue-collar,married,primary,0,$324.00,1,0,Null,1,-1,0,Null,0,Under 30
35,entrepreneur,divorced,secondary,0,-$69.00,1,0,Null,1,-1,0,Null,0,30-50
55,retired,married,secondary,0,$0.00,0,1,Null,1,-1,0,Null,0,Above 50
43,technician,divorced,unknown,0,$205.00,1,0,Null,1,-1,0,Null,0,30-50
48,blue-collar,married,primary,0,$278.00,1,0,Null,2,-1,0,Null,0,30-50
58,management,married,unknown,0,"$1,065.00",1,0,Null,3,-1,0,Null,0,Above 50
33,management,single,tertiary,0,$34.00,1,0,Null,1,-1,0,Null,0,30-50
36,blue-collar,married,unknown,0,"$1,033.00",0,0,Null,2,-1,0,Null,0,30-50
53,services,divorced,secondary,0,"$1,467.00",1,0,Null,1,-1,0,Null,0,Above 50
47,blue-collar,married,primary,0,-$12.00,1,0,Null,1,-1,0,Null,0,30-50
31,services,married,secondary,0,$388.00,1,0,Null,2,-1,0,Null,0,30-50
57,entrepreneur,married,secondary,0,$294.00,1,0,Null,2,-1,0,Null,0,Above 50
53,blue-collar,married,unknown,0,"$1,827.00",0,0,Null,1,-1,0,Null,0,Above 50
55,blue-collar,married,primary,0,$627.00,1,0,Null,1,-1,0,Null,0,Above 50
45,blue-collar,married,primary,0,$25.00,1,0,Null,1,-1,0,Null,0,30-50
53,admin.,divorced,secondary,0,$315.00,1,0,Null,2,-1,0,Null,0,Above 50
37,blue-collar,married,primary,0,$0.00,1,0,Null,1,-1,0,Null,0,30-50
44,admin.,divorced,secondary,0,$66.00,1,0,Null,1,-1,0,Null,0,30-50
49,blue-collar,divorced,primary,0,-$9.00,1,1,Null,1,-1,0,Null,0,30-50
46,technician,married,secondary,0,$349.00,1,1,Null,1,-1,0,Null,0,30-50
43,entrepreneur,married,unknown,0,$100.00,1,0,Null,1,-1,0,Null,0,30-50
38,admin.,married,secondary,0,$0.00,0,0,Null,1,-1,0,Null,0,30-50
43,technician,married,secondary,0,$434.00,1,0,Null,1,-1,0,Null,0,30-50
49,management,married,tertiary,0,"$3,237.00",1,0,Null,3,-1,0,Null,0,30-50
42,management,married,unknown,0,$275.00,0,0,Null,2,-1,0,Null,0,30-50
22,blue-collar,single,secondary,0,$0.00,1,0,Null,2,-1,0,Null,0,Under 30
40,management,married,tertiary,0,$207.00,1,0,Null,1,-1,0,Null,0,30-50
39,blue-collar,married,secondary,0,$483.00,1,0,Null,1,-1,0,Null,0,30-50
51,services,married,secondary,0,"$2,248.00",1,0,Null,2,-1,0,Null,0,Above 50
49,admin.,married,secondary,0,$428.00,1,0,Null,1,-1,0,Null,0,30-50
53,blue-collar,married,secondary,0,$0.00,1,1,Null,1,-1,0,Null,0,Above 50
34,services,single,secondary,0,$0.00,1,0,Null,1,-1,0,Null,0,30-50
33,technician,divorced,secondary,0,$140.00,1,0,Null,1,-1,0,Null,0,30-50
50,management,single,tertiary,0,$297.00,1,0,Null,1,-1,0,Null,0,30-50
39,blue-collar,married,primary,0,$279.00,1,0,Null,1,-1,0,Null,0,30-50
59,entrepreneur,divorced,secondary,0,$901.00,1,0,Null,3,-1,0,Null,0,Above 50
30,technician,single,secondary,0,"$2,573.00",1,0,Null,2,-1,0,Null,0,30-50
36,services,married,secondary,0,$143.00,1,1,Null,1,-1,0,Null,0,30-50
40,blue-collar,married,secondary,0,$475.00,1,0,Null,2,-1,0,Null,0,30-50
53,blue-collar,married,secondary,0,$70.00,1,0,Null,2,-1,0,Null,0,Above 50
34,management,single,tertiary,0,$318.00,1,0,Null,2,-1,0,Null,0,30-50
37,technician,married,secondary,0,$275.00,1,0,Null,1,-1,0,Null,0,30-50
42,management,divorced,tertiary,0,$742.00,1,0,Null,3,-1,0,Null,0,30-50
41,entrepreneur,married,primary,0,$236.00,1,0,Null,1,-1,0,Null,0,30-50
30,student,single,tertiary,0,$25.00,1,0,Null,2,-1,0,Null,0,30-50
37,management,single,tertiary,0,$600.00,1,0,Null,1,-1,0,Null,0,30-50
39,admin.,divorced,secondary,0,-$349.00,1,0,Null,2,-1,0,Null,0,30-50
41,blue-collar,married,primary,0,$183.00,1,1,Null,2,-1,0,Null,0,30-50
40,blue-collar,married,primary,0,$0.00,1,0,Null,1,-1,0,Null,0,30-50
42,management,single,tertiary,0,$0.00,1,1,Null,2,-1,0,Null,1,30-50
40,blue-collar,divorced,primary,0,$0.00,1,0,Null,1,-1,0,Null,0,30-50
57,technician,married,secondary,0,"$1,078.00",1,0,Null,4,-1,0,Null,0,Above 50
56,entrepreneur,divorced,secondary,0,$155.00,0,0,Null,3,-1,0,Null,0,Above 50
37,admin.,married,secondary,0,$190.00,1,0,Null,2,-1,0,Null,0,30-50
59,retired,married,secondary,0,$319.00,1,0,Null,3,-1,0,Null,0,Above 50
39,services,divorced,secondary,0,-$185.00,1,0,Null,3,-1,0,Null,0,30-50
49,services,married,secondary,0,$47.00,0,0,Null,2,-1,0,Null,0,30-50
38,services,single,secondary,0,$570.00,1,0,Null,2,-1,0,Null,0,30-50
36,self-employed,married,tertiary,0,$19.00,0,0,Null,2,-1,0,Null,0,30-50
50,blue-collar,married,primary,0,$61.00,1,0,Null,3,-1,0,Null,0,30-50
41,admin.,married,secondary,0,-$62.00,1,1,Null,2,-1,0,Null,0,30-50
54,technician,married,tertiary,0,$258.00,0,0,Null,4,-1,0,Null,0,Above 50
58,blue-collar,married,primary,0,$76.00,1,0,Null,2,-1,0,Null,0,Above 50
30,blue-collar,single,secondary,0,$0.00,1,0,Null,2,-1,0,Null,0,30-50
33,admin.,single,secondary,0,$352.00,1,0,Null,2,-1,0,Null,0,30-50
47,admin.,married,secondary,0,$368.00,1,0,Null,2,-1,0,Null,0,30-50
50,technician,single,tertiary,0,$339.00,1,0,Null,3,-1,0,Null,0,30-50
32,blue-collar,married,secondary,0,"$1,331.00",1,0,Null,2,-1,0,Null,0,30-50
40,self-employed,married,secondary,0,$672.00,1,0,Null,2,-1,0,Null,0,30-50
37,management,married,tertiary,0,$58.00,1,0,Null,2,-1,0,Null,0,30-50
54,technician,single,unknown,0,$447.00,1,0,Null,2,-1,0,Null,0,Above 50
24,student,single,secondary,0,$423.00,1,0,Null,3,-1,0,Null,0,Under 30
54,management,married,tertiary,0,$0.00,0,0,Null,2,-1,0,Null,0,Above 50
34,technician,married,secondary,0,$19.00,1,0,Null,4,-1,0,Null,0,30-50
56,technician,divorced,primary,0,$13.00,1,0,Null,2,-1,0,Null,0,Above 50
31,blue-collar,single,secondary,0,$3.00,1,0,Null,2,-1,0,Null,0,30-50
24,student,single,secondary,0,$82.00,1,0,Null,2,-1,0,Null,0,Under 30
42,blue-collar,divorced,primary,0,$28.00,1,0,Null,3,-1,0,Null,0,30-50
57,technician,married,secondary,0,$792.00,1,0,Null,2,-1,0,Null,0,Above 50
42,blue-collar,married,unknown,0,$408.00,1,0,Null,2,-1,0,Null,0,30-50
51,admin.,married,secondary,0,$531.00,1,0,Null,2,-1,0,Null,0,Above 50
57,retired,married,secondary,0,$211.00,1,0,Null,2,-1,0,Null,0,Above 50
36,services,single,secondary,0,$62.00,1,0,Null,2,-1,0,Null,0,30-50
53,services,married,unknown,0,$257.00,1,0,Null,2,-1,0,Null,0,Above 50
50,technician,married,secondary,0,"$1,234.00",1,0,Null,2,-1,0,Null,0,30-50
54,management,married,tertiary,0,$313.00,1,0,Null,2,-1,0,Null,0,Above 50
55,blue-collar,married,secondary,0,$89.00,1,0,Null,3,-1,0,Null,0,Above 50
44,blue-collar,married,secondary,0,$129.00,1,1,Null,2,-1,0,Null,0,30-50
43,management,married,unknown,0,$0.00,1,0,Null,2,-1,0,Null,0,30-50
56,admin.,married,secondary,0,$353.00,1,0,Null,2,-1,0,Null,0,Above 50
54,technician,married,unknown,0,$851.00,1,0,Null,2,-1,0,Null,0,Above 50
55,services,divorced,primary,0,$96.00,1,1,Null,2,-1,0,Null,0,Above 50
37,services,divorced,secondary,0,$398.00,1,1,Null,2,-1,0,Null,0,30-50
33,admin.,single,tertiary,0,$193.00,0,0,Null,2,-1,0,Null,0,30-50
46,admin.,married,secondary,0,-$358.00,1,0,Null,2,-1,0,Null,0,30-50
36,blue-collar,married,secondary,0,$539.00,1,1,Null,2,-1,0,Null,0,30-50
51,technician,single,secondary,0,$0.00,1,0,Null,2,-1,0,Null,0,Above 50
40,retired,single,primary,0,$0.00,0,0,Null,2,-1,0,Null,0,30-50
42,blue-collar,married,secondary,0,$490.00,1,0,Null,2,-1,0,Null,0,30-50
51,blue-collar,married,secondary,0,$0.00,1,0,Null,2,-1,0,Null,0,Above 50
49,blue-collar,married,unknown,0,$403.00,1,0,Null,2,-1,0,Null,0,30-50
48,management,married,secondary,0,$161.00,1,0,Null,3,-1,0,Null,0,30-50
